DEVICE_ID,LAT,LONGITUDE,SPEED_KMPH,IST_DATE,IST_TIME,ACC_DISTANCE,Unnamed: 7
150220615,12.846986,77.672569,0,2016-07-01,01:01:22,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:01:32,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:01:42,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:01:52,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:02:02,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:02:12,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:02:22,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:02:31,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:02:42,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:02:52,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:03:02,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:03:12,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:03:22,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:03:32,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:03:42,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:03:52,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:04:02,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:04:12,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:04:22,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:04:32,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:04:42,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:04:51,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:05:01,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:05:11,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:05:21,00:00:00,12215916
150220615,12.846986,77.672569,0,2016-07-01,01:05:31,00:00:00,12215916
