Start_Lat,Start_Longitude,Start_Time,End_Lat,End_Longitude,End_Time,Distance,Flag,Day_time
12.788414,77.706451,07:46:30,12.791063000000001,77.705711,07:56:01,314,0,27990
12.909436999999999,77.627251,08:38:10,12.919243,77.621323,08:48:08,1209,0,31090
12.919402999999999,77.621193,08:48:18,12.931719000000001,77.613525,08:58:16,1603,1,31698
12.931719000000001,77.613525,08:58:26,12.935918,77.607597,09:08:23,789,2,32306
12.953529,77.59225500000001,09:18:40,12.965428,77.59562700000001,09:28:19,1580,0,33520
12.975473,77.575439,09:39:35,12.977131,77.57429499999999,09:49:34,696,0,34775
12.977131,77.57429499999999,09:49:44,12.978309,77.57285300000001,09:59:35,203,1,35384
12.976216,77.586922,10:09:53,12.965593,77.586899,10:19:40,1355,0,36593
12.961865,77.59436,12:47:42,12.967619000000001,77.58905,12:57:42,1310,0,46062
12.97752,77.573532,13:07:57,12.980702,77.575325,13:17:52,1113,0,47277
12.969667999999999,77.58717299999999,13:29:24,12.962287,77.594307,13:39:22,1493,0,48564
12.802482000000001,77.705139,14:53:17,12.810561,77.695625,15:03:12,1369,0,53597
12.95308,77.593147,15:57:40,12.961382,77.594078,16:07:34,1116,0,57460
12.961382,77.594078,16:07:44,12.967549,77.589088,16:17:40,1346,1,58064
12.974971,77.576691,16:27:58,12.980181,77.57204399999999,16:37:25,1196,0,59278
12.975569,77.587212,16:49:52,12.967744,77.588226,16:59:50,947,0,60592
12.936727000000001,77.604446,17:20:15,12.929701,77.615463,17:30:14,1511,0,62415
12.792972,77.7062,18:23:07,12.789036,77.706795,18:32:58,924,0,66187
12.789036,77.706795,18:33:08,12.788558,77.706497,18:42:59,102,1,66788
