Start_Lat,Start_Longitude,Start_Time,End_Lat,End_Longitude,End_Time,Distance,Flag
12.847000000000001,77.67201999999999,07:56:40,12.847779,77.67067,08:04:18,1625,1
12.915261,77.623756,08:14:16,12.916654,77.632278,08:24:14,1309,1
12.916654,77.632278,08:24:14,12.916897,77.623489,08:34:12,1025,2
12.916897,77.623489,08:34:12,12.916364999999999,77.62355,08:44:09,104,3
12.916364999999999,77.62355,08:44:09,12.911104,77.626488,08:50:18,585,4
12.83687,77.65786700000001,09:09:14,12.838832,77.658798,09:19:11,242,1
12.838832,77.658798,09:19:11,12.845386,77.66523000000001,09:28:48,1361,2
12.912461,77.632538,09:54:52,12.917364,77.62380999999999,10:04:50,1363,1
12.917364,77.62380999999999,10:04:50,12.916604,77.623489,10:14:48,100,2
12.916604,77.623489,10:14:48,12.911275,77.626396,10:19:56,592,3
12.835666,77.656914,10:39:41,12.836139999999999,77.657303,10:49:40,100,1
12.836139999999999,77.657303,10:59:37,12.840021,77.65984300000001,11:09:33,433,2
12.840021,77.65984300000001,11:09:33,12.845646,77.667526,11:14:43,1391,3
12.916697000000001,77.630447,11:44:15,12.916912,77.623489,11:54:13,897,1
12.916912,77.623489,11:54:13,12.916783,77.62344399999999,12:04:11,100,2
12.916507000000001,77.623535,12:14:08,12.909919,77.627228,12:21:16,894,1
12.838628,77.65880600000001,12:41:02,12.839041,77.658997,12:51:02,100,1
12.839041,77.658997,12:51:02,12.8461,77.668648,12:57:21,1626,2
12.916428999999999,77.623253,13:14:36,12.911827,77.626091,13:24:34,664,1
12.838803,77.658722,13:44:19,12.838949000000001,77.65876,13:54:17,100,1
12.838949000000001,77.65876,13:54:17,12.845835000000001,77.667618,14:01:25,1529,2
12.91667,77.623451,14:29:44,12.911842,77.626114,14:34:03,586,1
12.836065,77.65729499999999,15:03:56,12.83871,77.658722,15:13:56,341,1
12.83871,77.658722,15:13:56,12.839031,77.658936,15:23:54,101,2
12.839031,77.658936,15:23:54,12.845703,77.667862,15:29:19,1544,3
12.916668,77.623352,15:49:08,12.911787,77.626228,15:59:06,584,1
12.838937,77.65933199999999,16:19:02,12.839236,77.659447,16:28:59,100,1
12.839236,77.659447,16:28:59,12.845542,77.66791500000001,16:36:50,1506,2
12.915742999999999,77.62344399999999,16:46:55,12.910495,77.626823,16:53:14,993,1
12.838693,77.658714,17:23:07,12.839107,77.659203,17:33:05,105,1
12.839107,77.659203,17:33:05,12.845391000000001,77.665359,17:43:03,1266,2
12.845391000000001,77.665359,17:43:03,12.846247,77.668892,17:45:32,427,3
12.905155,77.630081,17:55:19,12.916297,77.623573,18:05:18,1577,1
12.916297,77.623573,18:05:18,12.909818,77.627251,18:09:56,817,2
12.847428,77.674873,18:19:04,12.847028,77.67259200000001,18:28:58,1182,1
