Start_Lat,Start_Longitude,Start_Time,End_Lat,End_Longitude,End_Time,Distance,Flag
12.847177,77.672119,07:25:05,12.84742,77.674805,07:33:42,347,1
12.84742,77.674805,07:33:42,12.847287,77.670898,07:39:31,1203,2
12.916999,77.623512,08:29:16,12.911969000000001,77.626007,08:39:13,677,1
12.845573,77.667542,08:51:31,12.838230000000001,77.658539,08:59:39,1615,1
12.838230000000001,77.658539,08:59:39,12.838958,77.65885899999999,09:09:36,838,2
12.838958,77.65885899999999,09:09:36,12.846028,77.668495,09:18:24,1642,3
12.91457,77.624115,09:28:22,12.916775999999999,77.62906600000001,09:38:19,922,1
12.916789,77.623451,09:48:17,12.9159,77.623749,09:58:15,100,1
12.9159,77.623749,09:58:15,12.911237,77.626396,10:03:04,569,2
12.845525,77.667488,10:13:51,12.838924,77.658974,10:23:48,1514,1
12.838924,77.658974,10:23:48,12.838884,77.658821,10:33:46,909,2
12.915613,77.623497,10:51:32,12.916762,77.632278,11:01:30,1583,1
12.916762,77.632278,11:01:30,12.917327,77.623604,11:11:27,955,2
12.917327,77.623604,11:11:27,12.917597,77.624138,11:21:26,318,3
12.917597,77.624138,11:21:26,12.916628,77.623795,11:30:14,334,4
12.916472,77.623909,11:40:11,12.910002,77.627098,11:49:00,777,1
12.838905,77.658913,12:08:55,12.845467999999999,77.668015,12:18:04,1612,1
12.916802,77.627922,12:43:17,12.917177,77.62359599999999,12:53:15,473,1
12.917177,77.62359599999999,12:53:15,12.917027000000001,77.62355,13:03:13,100,2
12.916802,77.623413,13:33:05,12.916452,77.62354300000001,13:43:03,100,1
12.916452,77.62354300000001,13:43:03,12.911878,77.626015,13:50:11,505,2
12.838777,77.658913,14:09:27,12.845263000000001,77.660522,14:18:44,914,1
12.845263000000001,77.660522,14:18:44,12.845962,77.66883100000001,14:21:54,897,2
12.911858,77.625847,14:31:22,12.917678,77.62376400000001,14:41:15,1132,1
12.917678,77.62376400000001,14:41:15,12.911511,77.626312,14:48:24,708,2
12.843316999999999,77.660347,15:07:59,12.84623,77.668953,15:14:18,1162,1
12.911831,77.625854,15:23:45,12.914893,77.623001,15:33:44,1233,1
12.914893,77.623001,15:33:44,12.914147,77.624557,15:43:21,776,2
12.914147,77.624557,15:43:21,12.909646,77.627342,15:45:40,594,3
12.836013000000001,77.657372,16:15:24,12.838738000000001,77.65885899999999,16:25:23,422,1
12.838953,77.65885899999999,16:35:21,12.845487,77.665138,16:45:19,1284,1
12.845487,77.665138,16:45:19,12.845943,77.66893,16:47:18,447,2
12.916648,77.63205,17:07:16,12.916723,77.629494,17:17:13,911,1
12.916723,77.629494,17:17:13,12.915066,77.624252,17:22:02,936,2
12.83845,77.658737,17:42:17,12.845392,77.661232,17:52:14,883,1
12.845392,77.661232,17:52:14,12.846084,77.668571,18:02:13,893,2
12.904757,77.630318,18:12:10,12.916749000000001,77.622955,18:22:08,1450,1
12.916749000000001,77.622955,18:22:08,12.911866999999999,77.626007,18:30:26,818,2
12.847453,77.67486600000001,18:40:13,12.847217,77.672546,18:50:10,914,1
12.847217,77.672546,18:50:10,12.847126,77.672134,18:59:48,109,2
