Latitude,Longitude,Acc_distance,Time
12.924996,77.592804,12370232,00:22:22
12.924743,77.592957,12370341,06:50:07
12.924441999999999,77.593544,12370441,07:27:38
12.923456,77.593437,12370566,07:27:58
12.923175,77.59246800000001,12370674,07:28:38
12.923193,77.591499,12370782,07:28:58
12.923245,77.590294,12370894,07:29:17
12.923261,77.589729,12370998,07:29:27
12.923254,77.588509,12371124,07:29:57
12.922658,77.58805100000001,12371225,07:30:27
12.92178,77.58802,12371327,07:30:47
12.921683,77.586876,12371441,07:31:18
12.921696,77.585831,12371564,07:31:38
12.921147,77.58476999999999,12371684,07:32:08
12.919856,77.584747,12371816,07:32:27
12.919806,77.584023,12371937,07:32:47
12.919817,77.582787,12372043,07:33:17
12.919876,77.581787,12372148,07:33:37
12.919878,77.580978,12372269,07:33:57
12.919875,77.579674,12372380,07:34:27
12.919911,77.578484,12372484,07:34:46
12.919931,77.577957,12372600,07:34:56
12.919971,77.57639300000001,12372729,07:35:26
12.919998,77.575333,12372847,07:35:46
12.919955999999999,77.57431,12372967,07:36:06
12.919139999999999,77.57399000000001,12373091,07:36:26
12.918078,77.573601,12373215,07:36:46
12.917041000000001,77.573532,12373316,07:37:45
12.917330999999999,77.572823,12373416,07:38:26
12.917437,77.572769,12373516,07:42:15
12.917900999999999,77.573441,12373623,07:43:14
12.917677000000001,77.574547,12373731,07:45:33
12.917655,77.575806,12373836,07:45:54
12.917632000000001,77.57693499999999,12373947,07:46:14
12.917565,77.577507,12374055,07:46:34
12.917238000000001,77.57852199999999,12374166,07:46:54
12.917209,77.579735,12374294,07:47:14
12.917119999999999,77.581284,12374416,07:49:03
12.917123,77.582329,12374561,07:49:13
12.917126,77.583267,12374675,07:49:23
12.917099,77.584274,12374777,07:49:54
12.917102,77.584877,12374883,07:50:43
12.917076,77.58731800000001,12375016,07:52:03
12.917038,77.588493,12375148,07:52:13
12.917011,77.588852,12375256,07:52:23
12.916966,77.590271,12375358,07:52:53
12.916960000000001,77.59115600000001,12375493,07:53:03
12.916922999999999,77.592743,12375627,07:53:23
12.916925,77.593094,12375727,07:53:33
