LAT,LONGITUDE,IST_TIME,IST_DATE,SPEED_KMPH,Time_sec,Slot_no
12.924884,77.593002,00:00:55,2016-07-28,0,55,0
12.924371,77.592308,00:14:49,2016-07-28,0,889,2
12.84706,77.672775,00:16:40,2016-07-28,0,1000,139
12.847524,77.672676,00:28:41,2016-07-28,0,1721,138
12.847557,77.6726,05:28:43,2016-07-28,0,19723,138
12.92444,77.59219399999998,05:44:53,2016-07-28,0,20693,2
12.847062,77.67276,05:46:41,2016-07-28,0,20801,139
12.924912,77.59303299999998,06:00:53,2016-07-28,0,21653,0
12.847497,77.6726,07:23:40,2016-07-28,0,26620,138
12.847498,77.6726,07:24:19,2016-07-28,0,26659,138
12.847496,77.6726,07:24:59,2016-07-28,0,26699,138
12.847495,77.6726,07:25:09,2016-07-28,0,26709,138
12.847494,77.6726,07:25:19,2016-07-28,0,26719,138
12.847493,77.6726,07:25:39,2016-07-28,0,26739,138
12.847492,77.6726,07:25:59,2016-07-28,0,26759,138
12.847491,77.6726,07:26:10,2016-07-28,0,26770,138
12.84749,77.6726,07:26:30,2016-07-28,0,26790,138
12.847489,77.6726,07:26:39,2016-07-28,0,26799,138
12.847488,77.6726,07:27:19,2016-07-28,0,26839,138
12.847487,77.6726,07:27:49,2016-07-28,0,26869,138
12.847486,77.6726,07:27:59,2016-07-28,0,26879,138
12.847485,77.6726,07:28:09,2016-07-28,0,26889,138
12.847484,77.6726,07:28:29,2016-07-28,0,26909,138
12.847483,77.6726,07:28:39,2016-07-28,0,26919,138
12.847482,77.6726,07:28:49,2016-07-28,0,26929,138
12.847481,77.6726,07:28:59,2016-07-28,0,26939,138
12.924346,77.592323,07:28:54,2016-07-28,0,26934,2
12.847479,77.6726,07:29:18,2016-07-28,0,26958,138
12.847478,77.6726,07:29:28,2016-07-28,0,26968,138
12.847477,77.6726,07:29:38,2016-07-28,0,26978,138
12.924345,77.592323,07:30:43,2016-07-28,0,27043,2
12.924344,77.592331,07:30:53,2016-07-28,0,27053,2
12.847476,77.6726,07:29:48,2016-07-28,0,26988,138
12.847474,77.6726,07:29:58,2016-07-28,0,26998,138
12.847465,77.6726,07:31:18,2016-07-28,0,27078,138
12.924341,77.592331,07:31:23,2016-07-28,0,27083,2
12.847472,77.6726,07:30:08,2016-07-28,0,27008,138
12.847464,77.6726,07:31:28,2016-07-28,0,27088,138
12.847471,77.6726,07:30:18,2016-07-28,0,27018,138
12.847463,77.6726,07:31:38,2016-07-28,0,27098,138
12.847469,77.6726,07:30:28,2016-07-28,0,27028,138
12.92434,77.592331,07:31:43,2016-07-28,0,27103,2
12.847468,77.6726,07:30:38,2016-07-28,0,27038,138
12.847532,77.674576,07:31:46,2016-07-28,6,27106,138
12.847467,77.6726,07:30:48,2016-07-28,0,27048,138
12.84659,77.672195,07:31:06,2016-07-28,6,27066,139
12.847462,77.6726,07:31:57,2016-07-28,0,27117,138
12.847466,77.6726,07:31:08,2016-07-28,0,27068,138
12.84746,77.6726,07:32:07,2016-07-28,0,27127,138
12.924339,77.592339,07:32:12,2016-07-28,0,27132,2
12.847459,77.6726,07:32:17,2016-07-28,0,27137,138
12.92433,77.592331,07:32:22,2016-07-28,0,27142,2
12.847458,77.6726,07:32:27,2016-07-28,0,27147,138
12.924337,77.592339,07:32:32,2016-07-28,0,27152,2
12.847457,77.6726,07:32:37,2016-07-28,0,27157,138
12.924332,77.592339,07:32:42,2016-07-28,0,27162,2
12.847455,77.6726,07:32:57,2016-07-28,0,27177,138
12.847453,77.6726,07:33:07,2016-07-28,0,27187,138
12.924331,77.592339,07:33:13,2016-07-28,0,27193,2
12.845325,77.672089,07:33:15,2016-07-28,12,27195,147
12.847452,77.6726,07:33:17,2016-07-28,0,27197,138
12.847451,77.6726,07:33:27,2016-07-28,0,27207,138
12.845841,77.671921,07:33:25,2016-07-28,19,27205,141
12.84745,77.6726,07:33:38,2016-07-28,0,27218,138
12.924331,77.592331,07:33:43,2016-07-28,0,27223,2
12.847448,77.6726,07:33:48,2016-07-28,0,27228,138
12.847262,77.67094399999998,07:34:05,2016-07-28,13,27245,138
12.847447,77.672607,07:34:08,2016-07-28,0,27248,138
12.847446,77.672607,07:34:17,2016-07-28,0,27257,138
12.847445,77.672607,07:34:38,2016-07-28,0,27278,138
12.847443,77.672607,07:34:57,2016-07-28,0,27297,138
12.924329,77.592331,07:35:02,2016-07-28,0,27302,2
12.847441,77.672607,07:35:07,2016-07-28,0,27307,138
12.924322,77.592331,07:35:12,2016-07-28,0,27312,2
12.924317,77.592331,07:35:22,2016-07-28,0,27322,2
12.84744,77.672607,07:35:27,2016-07-28,0,27327,138
12.924318,77.592323,07:35:32,2016-07-28,0,27332,2
12.84744,77.6726,07:35:47,2016-07-28,0,27347,138
12.847439,77.6726,07:35:57,2016-07-28,0,27357,138
12.847438,77.6726,07:36:17,2016-07-28,0,27377,138
12.847437,77.6726,07:36:37,2016-07-28,0,27397,138
12.924318,77.592331,07:36:52,2016-07-28,0,27412,2
12.847436,77.6726,07:36:56,2016-07-28,0,27416,138
12.847435,77.6726,07:37:06,2016-07-28,0,27426,138
12.847434,77.6726,07:37:16,2016-07-28,0,27436,138
12.847434,77.672607,07:37:26,2016-07-28,0,27446,138
12.924319,77.592331,07:37:31,2016-07-28,0,27451,2
12.847431,77.672607,07:38:16,2016-07-28,0,27496,138
12.847429,77.672607,07:38:26,2016-07-28,0,27506,138
12.92432,77.592354,07:38:41,2016-07-28,0,27521,2
12.847429,77.67263,07:38:46,2016-07-28,0,27526,138
12.924326,77.592377,07:38:51,2016-07-28,0,27531,2
12.847335,77.672623,07:38:56,2016-07-28,0,27536,138
