DEVICE_ID,LAT,LONGITUDE,SPEED_KMPH,IST_DATE,IST_TIME,Acc_distance
150813938,12.786895,77.70797,0,2016-07-04,00:01:43,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:01:53,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:02:03,15103721
150813938,12.786895,77.70797,16,2016-07-04,00:01:33,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:02:13,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:02:23,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:02:33,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:02:43,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:02:53,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:03:03,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:03:13,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:03:23,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:03:33,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:03:43,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:03:52,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:04:02,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:04:12,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:04:22,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:04:32,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:04:42,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:04:52,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:05:02,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:05:12,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:05:22,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:05:32,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:05:42,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:05:52,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:06:02,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:06:12,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:06:21,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:06:31,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:06:41,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:06:51,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:07:01,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:07:11,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:07:22,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:07:32,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:07:42,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:07:52,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:08:02,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:08:12,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:08:22,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:08:32,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:08:42,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:08:52,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:09:01,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:09:12,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:09:21,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:09:31,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:09:41,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:09:51,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:10:01,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:10:11,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:10:21,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:10:31,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:10:41,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:10:51,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:11:01,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:11:11,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:11:21,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:11:30,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:11:40,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:11:50,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:12:00,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:12:10,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:12:20,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:12:30,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:12:40,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:12:50,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:13:00,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:13:10,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:13:20,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:13:30,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:13:40,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:13:50,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:14:01,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:14:10,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:14:20,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:14:31,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:14:40,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:14:50,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:15:00,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:15:10,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:15:20,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:15:30,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:15:40,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:15:50,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:16:00,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:16:10,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:16:20,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:16:30,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:16:40,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:16:50,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:16:59,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:17:09,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:17:19,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:17:29,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:17:39,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:17:49,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:17:59,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:18:09,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:18:19,15103721
150813938,12.786895,77.70797,0,2016-07-04,00:18:29,15103721
